"Gene.symbol","Gene.chromosome.primaryIdentifier","Gene.chromosomeLocation.start","Gene.chromosomeLocation.end","Gene.chromosomeLocation.strand","Gene.featureType"
"","chrmt","11667","11957","1","ORF"
"","chrXII","11726","12076","1","ORF"
"HSP32","chrXVI","11887","12600","1","ORF"
"PAU13","chrVIII","11923","12285","-1","ORF"
"","chrI","12046","12426","1","ORF"
"SNO2","chrXIV","12208","12876","-1","ORF"
"HMLALPHA2","chrIII","12386","13018","-1","ORF"
"MNT2","chrVII","12481","14157","-1","ORF"
"PXP3","chrVIII","12502","12849","1","ORF"
"THI5","chrVI","12929","13951","1","ORF"
"PAU18","chrXII","13083","13445","-1","ORF"
"FEX2","chrXVI","13228","14355","-1","ORF"
"SNZ2","chrXIV","13267","14163","1","ORF"
"HMLALPHA1","chrIII","13282","13809","1","ORF"
"TDA8","chrI","13363","13743","-1","ORF"
"DFP4","chrVIII","13565","14272","1","ORF"
"RMD6","chrV","13720","14415","1","ORF"
"","chrIII","13751","14119","1","ORF"
"AI1","chrmt","13818","16322","1","ORF"
"AI2","chrmt","13818","18830","1","ORF"
"AI3","chrmt","13818","19996","1","ORF"
"AI4","chrmt","13818","21935","1","ORF"
"AI5_ALPHA","chrmt","13818","23167","1","ORF"
"COX1","chrmt","13818","26701","1","ORF"
"PKC1","chrII","14241","17696","-1","ORF"
"AAD16","chrVI","14305","14763","-1","ORF"
"AAD6","chrVI","14305","15431","-1","pseudogene"
"","chrXV","14313","14654","1","ORF"
"COS9","chrXI","14485","15708","1","ORF"
"COX14","chrXIII","14541","14753","-1","ORF"
"AYT1","chrXII","14648","16072","-1","ORF"
"THI12","chrXIV","14832","15854","1","ORF"
"ECM34","chrVIII","14901","15413","1","ORF"
"","chrXVI","15053","15355","-1","ORF"
"MSC1","chrXIII","15135","16676","-1","ORF"
"ADH4","chrVII","15159","16307","1","ORF"
"","chrXV","15233","15505","-1","ORF"
"","chrXVI","15405","16868","-1","ORF"
"","chrVIII","15667","16119","1","ORF"
"CHA1","chrIII","15798","16880","-1","ORF"
"AAD14","chrXIV","16118","17248","-1","ORF"
"THI13","chrIV","16204","17226","1","ORF"
"DLD3","chrV","16355","17845","1","ORF"
"MHT1","chrXII","16639","17613","-1","ORF"
"IMA4","chrX","16767","18536","-1","ORF"
"IMA3","chrIX","16784","18553","-1","ORF"
"AGP3","chrVI","17004","18680","1","ORF"
"RSC9","chrXIII","17064","18809","1","ORF"
"SUT532","chrVII","17213","17709","-1","ncRNA gene"
"CSS3","chrXV","17281","17796","-1","ORF"
"VAC17","chrIII","17290","18561","1","ORF"
"SRY1","chrXI","17359","18339","-1","ORF"
"","chrVIII","17392","17841","1","ORF"
"AAD4","chrIV","17577","18566","-1","ORF"
"","chrXVI","17948","18385","1","pseudogene"
"","chrIII","17955","18542","1","ORF"
"MMP1","chrXII","17956","19707","1","ORF"
"RPD3","chrXIV","18001","19302","-1","ORF"
"SEA4","chrII","18177","21293","-1","ORF"
"","chrII","18177","18437","-1","ORF"
"","chrX","18243","18695","1","ORF"
"","chrIX","18260","18712","1","ORF"
"FDH2","chrXVI","18369","19079","1","pseudogene"
"MRC1","chrIII","18816","22106","-1","ORF"
"","chrIV","18959","19312","1","ORF"
"ERG13","chrXIII","19060","20535","-1","ORF"
"ARN1","chrVIII","19088","20971","-1","ORF"
"ENB1","chrXV","19491","21311","-1","ORF"
"HXT9","chrX","19497","21200","1","ORF"
"","chrIX","19515","19844","1","pseudogene"
"PEX6","chrXIV","19541","22633","-1","ORF"
"DSF1","chrV","19589","21097","1","ORF"
"HXT12","chrIX","19847","21220","1","pseudogene"
"","chrIII","20409","21362","-1","ORF"
"","chrIV","20635","21006","1","ORF"
"PGA3","chrXIII","20761","21699","-1","ORF"
"AQY3","chrVI","20847","22787","-1","ORF"
"ZRT1","chrVII","20978","22108","1","ORF"
"GTT2","chrXII","21138","21839","-1","ORF"
"HXT13","chrV","21537","23231","-1","ORF"
"","chrI","21566","21850","1","ORF"
"EFM1","chrVIII","21783","23540","1","ORF"
"","chrX","21973","22563","1","ORF"
"TUB3","chrXIII","22048","23683","-1","ORF"
"RTG3","chrII","22076","23536","-1","ORF"
"JEN1","chrXI","22234","24084","1","ORF"
"FZF1","chrVII","22304","23203","1","ORF"
"","chrI","22395","22685","-1","ORF"
"KRR1","chrIII","22429","23379","-1","ORF"
"","chrIV","22471","22608","-1","ORF"
"","chrXII","22474","22980","-1","ORF"
"IMA2","chrXV","22525","24294","-1","ORF"
"LRG1","chrIV","22823","25876","1","ORF"
"MDJ2","chrXIV","22834","23274","-1","ORF"
"SAM3","chrXVI","22938","24701","1","ORF"
"CSS1","chrIX","23119","26106","-1","ORF"
"REE1","chrX","23133","23729","1","ORF"
"DAK2","chrVI","23423","25198","1","ORF"
"","chrIII","23511","23909","1","ORF"
"FYV5","chrIII","23523","23981","-1","ORF"
"","chrXIII","23564","26578","1","ncRNA gene"
"HSU1","chrXII","23569","25296","1","ORF"
"ADF1","chrIII","23584","23925","1","ORF"
"CBP2","chrVIII","23617","25509","-1","ORF"
"HXK2","chrVII","23935","25395","1","ORF"
"FLO9","chrI","24000","27968","-1","ORF"
"MIC10","chrIII","24032","24325","-1","ORF"
"PHO84","chrXIII","24037","25800","-1","ORF"
"EGT2","chrXIV","24048","27173","1","ORF"
"SFT2","chrII","24098","24745","1","ORF"
"AI5_BETA","chrmt","24156","25255","1","ORF"
"IMA5","chrX","24341","26086","-1","ORF"
"PRD1","chrIII","24768","26906","1","ORF"
"ECM21","chrII","24946","28299","-1","ORF"
"SAM4","chrXVI","25087","26064","1","ORF"
"URA1","chrXI","25215","26159","1","ORF"
"HXT11","chrXV","25273","26976","1","ORF"
"","chrV","25646","25978","-1","ORF"
"RTG2","chrVII","25718","27484","-1","ORF"
"JLP1","chrXII","25756","26994","-1","ORF"
"","chrVIII","25778","26179","-1","ORF"
"","chrXIII","26038","26418","-1","ORF"
"","chrV","26189","26776","-1","ORF"
"MUP3","chrVIII","26241","27881","1","ORF"
"ADY3","chrIV","26403","28775","-1","ORF"
"","chrX","26412","26771","-1","ORF"
"PBI1","chrXVI","26611","28164","-1","ORF"
"HPA3","chrV","26721","27206","1","ORF"
"OXP1","chrXI","26827","30687","-1","ORF"
"HXT8","chrX","26887","28596","1","ORF"
"PEX34","chrIII","26925","27359","-1","ORF"
"GTR1","chrXIII","26930","27862","1","ORF"
"","chrXV","27084","27218","1","ORF"
"PFA3","chrXIV","27337","28347","-1","ORF"
"","chrXII","27409","28305","-1","ORF"
"SIT1","chrV","27657","29543","1","ORF"
"ATP8","chrmt","27666","27812","1","ORF"
"HFM1","chrVII","27921","31636","-1","ORF"
"KAR4","chrIII","27929","28936","1","ORF"
"VMR1","chrVIII","27978","32756","-1","ORF"
"ZNF1","chrVI","28232","29629","1","ORF"
"NDI1","chrXIII","28266","29807","-1","ORF"
"","chrII","28427","28546","1","ORF"
"ATP6","chrmt","28487","29266","1","ORF"
"HPF1","chrXV","28703","31606","-1","ORF"
"FIG4","chrXIV","28739","31378","-1","ORF"
"GUD1","chrIV","28985","30454","-1","ORF"
"SDL1","chrIX","29032","30048","1","blocked reading frame"
"","chrIX","29032","29415","1","pseudogene"
"RE","chrIII","29108","29809","0","recombination enhancer"
"AVT2","chrV","29797","31239","-1","ORF"
"","chrII","29935","31251","1","transposable element gene"
"","chrII","29935","35248","1","transposable element gene"
"","chrVI","30058","30540","-1","ORF"
"ATP15","chrXVI","30079","30267","1","ORF"
"YCT1","chrXII","30109","31704","1","ORF"
"MDL2","chrXVI","30482","32803","1","ORF"
"","chrXIII","30611","31684","1","ORF"
"AIM6","chrIV","30657","31829","1","ORF"
"","chrmt","30874","31014","1","ORF"
"RDT1","chrIII","30910","30996","1","ORF"
"SOA1","chrIX","30938","32566","-1","ORF"
"","chrXIV","31050","31445","1","ORF"
"YRA2","chrXI","31082","31693","-1","ORF"
"SPB1","chrIII","31449","33974","1","ORF"
"GDH3","chrI","31567","32940","1","ORF"
"CAN1","chrV","31694","33466","-1","ORF"
"RMR1","chrVII","31910","32635","1","ORF"
"LEM3","chrXIV","31944","33188","1","ORF"
"DOA1","chrXI","31960","34107","-1","ORF"
"","chrX","32163","33158","1","ORF"
"","chrIII","32194","32598","-1","ORF"
"PHO13","chrIV","32296","33234","1","ORF"
"NGL3","chrXIII","32334","33851","1","ORF"
"","chrXII","32673","35204","-1","ORF"
"KAR9","chrXVI","33013","34947","1","ORF"
"ZIP2","chrVII","33098","35212","1","ORF"
"RME3","chrVII","33109","35013","-1","ncRNA gene"
"","chrVIII","33176","33637","1","ORF"
"SBP1","chrVIII","33193","34077","-1","ORF"
"ALR2","chrVI","33272","35848","-1","ORF"
"KRE1","chrXIV","33294","34235","-1","ORF"
"YPD1","chrIV","33415","33918","-1","ORF"
"BDH2","chrI","33448","34701","1","ORF"
"","chrIII","33448","33897","-1","ORF"
"","chrIX","33718","34077","-1","ORF"
"OPT1","chrX","33850","36249","-1","ORF"
"NIT1","chrIX","34087","34686","-1","ORF"
"PBN1","chrIII","34143","35393","-1","ORF"
"GYP7","chrIV","34237","36477","-1","ORF"
"NAB6","chrXIII","34243","37647","1","ORF"
"NPR2","chrV","34407","36254","1","ORF"
"SAC1","chrXI","34543","36414","1","ORF"
"ZPS1","chrXV","34658","35407","1","ORF"
"VNX1","chrXIV","34696","37422","1","ORF"
"BDH1","chrI","35155","36303","1","ORF"
"PLC1","chrXVI","35236","37845","1","ORF"
"RPL8A","chrVIII","35255","36025","-1","ORF"
"","chrmt","35373","35444","1","tRNA gene"
"","chrXII","35503","35961","-1","ORF"
"PDE1","chrVII","35653","36762","1","ORF"
"LRE1","chrIII","35865","37616","1","ORF"
"AQY2","chrXII","35912","36361","-1","ORF"
"GUT1","chrVIII","36379","38508","-1","ORF"
"","chrII","36398","36488","1","tRNA gene"
"","chrI","36496","36918","-1","ORF"
"ECM1","chrI","36509","37147","1","ORF"
"CIN8","chrV","36535","39537","-1","ORF"
"BI2","chrmt","36540","38579","1","ORF"
"BI3","chrmt","36540","40265","1","ORF"
"BI4","chrmt","36540","42251","1","ORF"
"COB","chrmt","36540","43647","1","ORF"
"TRP3","chrXI","36699","38153","-1","ORF"
"","chrX","36757","37200","-1","ORF"
"MFG1","chrIV","36797","38173","1","ORF"
"SWP82","chrVI","36803","38674","1","ORF"
"","chrXV","36822","38567","-1","blocked reading frame"
"","chrIX","36899","37252","-1","ORF"
"PEX2","chrX","36919","37734","1","ORF"
"BRR6","chrVII","36933","37526","1","ORF"
"","chrII","36989","37303","-1","ORF"
"ATP1","chrII","37053","38690","1","ORF"
"FRE6","chrXII","37333","39471","-1","ORF"
"SUC2","chrIX","37385","38983","1","ORF"
"CNE1","chrI","37464","38972","1","ORF"
"","chrXIII","37472","37774","1","ORF"
"RAI1","chrVII","37617","38780","-1","ORF"
"","chrXIV","37700","38554","1","ORF"
"APA1","chrIII","37836","38801","-1","ORF"
"CBP1","chrX","38005","39969","1","ORF"
"ACM1","chrXVI","38169","38798","1","ORF"
"ATR1","chrXIII","38196","39824","1","ORF"
"OST4","chrIV","38487","38597","1","ORF"
"","chrXIV","38642","39082","1","ORF"
"","chrI","38696","39046","-1","ORF"
"HXT14","chrXIV","38707","40329","-1","ORF"
"SNR64","chrXI","38811","38911","1","snoRNA gene"
"GOS1","chrVIII","38815","39486","-1","ORF"
"EMP47","chrVI","38843","40180","-1","ORF"
"BRE4","chrIV","38867","42244","-1","ORF"
"GUS1","chrVII","39023","41149","1","ORF"
"","chrVIII","39074","39535","1","ORF"
"DIM1","chrXVI","39121","40077","1","ORF"
"BNA4","chrII","39145","40527","1","ORF"
"UBA1","chrXI","39163","42237","1","ORF"
"GPB2","chrI","39259","41901","1","ORF"
"SMU2","chrIX","39433","40140","1","ORF"
"","chrIII","39786","40724","-1","ORF"
"COF1","chrXII","39804","40414","-1","ORF"
"PRB1","chrV","40046","41953","-1","ORF"
"ECM29","chrVIII","40084","45690","1","ORF"
"VAN1","chrXIII","40187","41794","-1","ORF"
"POT1","chrIX","40191","41444","-1","ORF"
"NUC1","chrX","40194","41183","-1","ORF"
"RGD2","chrVI","40421","42565","1","ORF"
"PFS2","chrXIV","40619","42016","1","ORF"
"LDB18","chrXII","40666","41205","1","ORF"
"FRE7","chrXV","40748","42610","1","ORF"
"BRN1","chrII","40831","43095","1","ORF"
"DIP5","chrXVI","41043","42869","1","ORF"
"YBT1","chrXII","41280","46265","-1","ORF"
"LAA1","chrX","41389","47433","-1","ORF"
"","chrIII","41488","41727","1","ORF"
"RTF1","chrVII","41498","43174","1","ORF"
"BNR1","chrIX","41825","45952","1","ORF"
"TAF8","chrXIII","42043","43575","-1","ORF"
"PHA2","chrXIV","42071","43075","-1","ORF"
"SPS22","chrIII","42165","43556","1","ORF"
"PEX22","chrI","42177","42719","1","ORF"
"SOM1","chrV","42400","42624","-1","ORF"
"STE6","chrXI","42423","46295","-1","ORF"
"HHY1","chrV","42652","42960","1","ORF"
"PTP1","chrIV","42700","43707","1","ORF"
"FMP32","chrVI","42815","43438","1","ORF"
"ACS1","chrI","42881","45022","-1","ORF"
"","chrIII","43093","43476","-1","ORF"
"","chrII","43174","43482","-1","ORF"
"PCM1","chrV","43252","44925","1","ORF"
"MRX3","chrII","43277","44089","1","ORF"
"","chrXVI","43283","44344","-1","ORF"
"TAD1","chrVII","43307","44509","1","ORF"
"ATP11","chrXIV","43324","44280","-1","ORF"
"SEC53","chrVI","43628","44392","-1","ORF"
"POF1","chrIII","43661","44437","-1","ORF"
"GRE2","chrXV","43694","44722","1","ORF"
"","chrII","43765","44097","-1","ORF"
"DAT1","chrXIII","44045","44791","1","ORF"
"SSB1","chrIV","44065","45906","1","ORF"
"ROX3","chrII","44256","44918","-1","ORF"
"DAL82","chrXIV","44447","45214","1","ORF"
"","chrXV","44473","44784","-1","ORF"
"KEL3","chrXVI","44551","46506","-1","ORF"
"EMC1","chrIII","44623","46905","-1","ORF"
"ANK1","chrVII","44652","45197","-1","ORF"
"OTU1","chrVI","44655","45560","-1","ORF"
"DCP1","chrXV","44938","45633","1","ORF"
"SDD1","chrV","45020","45721","-1","ORF"
"CTK3","chrXIII","45063","45953","1","ORF"
"","chrIV","45277","45918","-1","ORF"
"EMW1","chrXIV","45308","48022","-1","ORF"
"KAP114","chrVII","45445","48459","1","ORF"
"LAM5","chrVI","45720","47744","-1","ORF"
"","chrVI","45720","46157","-1","ORF"
"SPT20","chrXV","45760","47574","-1","ORF"
"FLC2","chrI","45899","48250","1","ORF"
"OCA5","chrVIII","45929","47968","-1","ORF"
"RPL32","chrII","45978","46370","1","ORF"
"AIM20","chrIX","46201","46815","1","ORF"
"HO","chrIV","46271","48031","-1","ORF"
"SCS22","chrII","46565","47180","-1","ORF"
"","chrIII","46640","46963","1","ORF"
"","chrXII","46672","47055","1","ORF"
"RNP1","chrXII","46714","47463","-1","ORF"
"OLI1","chrmt","46723","46953","1","ORF"
"TRT2","chrXI","46735","46806","-1","tRNA gene"
"BUL2","chrXIII","46942","49704","1","ORF"
"COA1","chrIX","46949","47542","-1","ORF"
"MGR1","chrIII","47111","48364","-1","ORF"
"CBT1","chrXI","47157","47972","1","ORF"
"HAT2","chrV","47168","48373","1","ORF"
"","chrIX","47292","47693","1","ORF"
"FUM1","chrXVI","47336","48802","1","ORF"
"MAP2","chrII","47363","48628","-1","ORF"
"","chrIII","47401","47847","1","ORF"
"","chrX","47659","49935","-1","ORF"
"ATG44","chrIX","47690","47973","1","ORF"
"RPL8B","chrXII","47859","48629","-1","ORF"
"PEX11","chrXV","47933","48643","-1","ORF"
"UBP7","chrIX","48091","51306","1","ORF"
"EMC3","chrXI","48194","48955","1","ORF"
"","chrmt","48201","48290","1","tRNA gene"
"","chrXII","48216","48662","1","ORF"
"RFA2","chrXIV","48287","49216","1","ORF"
"POL5","chrV","48471","51539","-1","ORF"
"OAF1","chrI","48564","51707","1","ORF"
"DOC1","chrVII","48613","49365","1","ORF"
"PDI1","chrIII","48653","50221","-1","ORF"
"","chrVI","48734","48925","1","ORF"
"WSC4","chrVIII","48763","50580","1","ORF"
"MRP21","chrII","48825","49358","1","ORF"
"PSF3","chrXV","48864","49448","1","ORF"
"VAR1","chrmt","48901","50097","1","ORF"
"","chrXVI","48996","49304","-1","ORF"
"ADD66","chrXI","49006","49809","-1","ORF"
"FET5","chrVI","49139","51007","1","ORF"
"CUB1","chrXVI","49303","50958","1","ORF"
"SKP2","chrXIV","49397","51688","-1","ORF"
"","chrVII","49431","49745","-1","ORF"
"CSE1","chrVII","49552","52434","1","ORF"
"CTR9","chrXV","49555","52788","-1","ORF"
"AVT5","chrII","49574","50953","1","ORF"
"FPS1","chrXII","49938","51947","1","ORF"
"COQ5","chrXIII","50031","50954","-1","ORF"
"LOS1","chrXI","50051","53353","1","ORF"
"","chrIII","50133","50627","-1","ORF"
"NCE101","chrX","50139","50443","-1","ORF"
"","chrIII","50584","50943","1","ORF"
"RCY1","chrX","50629","53151","-1","ORF"
"GLK1","chrIII","50838","52340","1","ORF"
"TEL1","chrII","51019","59382","-1","ORF"
"","chrmt","51052","51228","1","ORF"
"RIM101","chrVIII","51111","52988","1","ORF"
"GCS1","chrIV","51115","52173","-1","ORF"
"APM1","chrXVI","51244","52671","-1","ORF"
"","chrmt","51277","51429","1","ORF"
"","chrVI","51350","52972","1","ORF"
"ZDS2","chrXIII","51640","54468","1","ORF"
"GUT2","chrIX","51759","53708","-1","ORF"
"AIM2","chrI","51855","52595","-1","ORF"
"ZIM17","chrXIV","51907","52431","-1","ORF"
"ATG10","chrXII","52087","52590","-1","ORF"
"SNR80","chrV","52150","52320","-1","snoRNA gene"
"SHS1","chrIV","52445","54100","1","ORF"
"GID7","chrIII","52645","54882","1","ORF"
"STB1","chrXIV","52662","53924","1","ORF"
"RPL12A","chrV","52721","53218","-1","ORF"
"HAP2","chrVII","52731","53528","-1","ORF"
"GEM1","chrI","52801","54789","-1","ORF"
"","chrV","52908","53255","1","ORF"
"SUT390","chrXVI","52977","53465","1","ncRNA gene"
"NOP8","chrXV","53098","54552","1","ORF"
"SDH2","chrXII","53131","53931","-1","ORF"
"","chrVIII","53219","54166","-1","ORF"
"ACT1","chrVI","53260","54696","-1","ORF"
"PRP21","chrX","53341","54183","1","ORF"
"THI21","chrXVI","53498","55153","-1","ORF"
"EAP1","chrXI","53704","55602","1","ORF"
"MTO1","chrVII","53787","55796","-1","ORF"
"MAK10","chrV","53901","56102","-1","ORF"
"","chrX","53943","54290","-1","ORF"
"IMP21","chrIX","53981","55021","-1","ORF"
"","chrmt","54109","54438","1","ORF"
"KRI1","chrXIV","54122","55897","-1","ORF"
"VPS13","chrXII","54211","63645","-1","ORF"
"ECM25","chrX","54379","56178","1","ORF"
"WHI4","chrIV","54397","56346","-1","ORF"
"","chrI","54584","54913","1","ORF"
"RIB4","chrXV","54595","55104","-1","ORF"
"","chrXIII","54793","55110","1","ORF"
"SNF6","chrVIII","54851","55849","1","ORF"
"ATG22","chrIII","54941","56527","-1","ORF"
"SPC72","chrI","54989","56857","-1","ORF"
"RRD1","chrIX","55198","56379","1","ORF"
"PML39","chrXIII","55265","56269","-1","ORF"
"","chrVII","55279","55815","1","ORF"
"YPT1","chrVI","55366","55986","-1","ORF"
"RRP40","chrXV","55558","56280","1","ORF"
"TOR2","chrXI","55935","63359","-1","ORF"
"","chrXVI","56169","56274","-1","tRNA gene"
"TUB2","chrVI","56336","57709","1","ORF"
"ACO2","chrX","56444","58813","-1","ORF"
"MCK1","chrXIV","56446","57573","-1","ORF"
"PPM2","chrXV","56452","58539","1","ORF"
"ADE57","chrVII","56482","58890","1","ORF"
"VPR1","chrIX","56545","57252","1","ORF"
"AFG1","chrV","56571","58100","1","ORF"
"RIM4","chrVIII","56649","58790","1","ORF"
"","chrXVI","56748","58070","1","transposable element gene"
"","chrXVI","56748","62016","1","transposable element gene"
"URA5","chrXIII","56773","57453","1","ORF"
"BOL3","chrI","57029","57385","-1","ORF"
"HBT1","chrIV","57265","60405","-1","ORF"
"ESL1","chrIX","57338","60694","-1","ORF"
"SRO9","chrIII","57374","58678","-1","ORF"
"","chrI","57488","57796","-1","ORF"
"BOL1","chrI","57518","57850","1","ORF"
"RUF21","chrVI","57815","58521","-1","ncRNA gene"
"SEC65","chrXIII","57866","58687","-1","ORF"
"GCV3","chrI","57950","58462","-1","ORF"
"21S_RRNA","chrmt","58009","62447","1","rRNA gene"
"MRPS18","chrXIV","58155","58808","1","ORF"
"VMA8","chrV","58378","59148","1","ORF"
"PTA1","chrI","58695","61052","-1","ORF"
"ARG8","chrXV","58759","60030","1","ORF"
"RPO41","chrVI","58782","62837","1","ORF"
"BXI1","chrXIV","58898","59791","-1","ORF"
"MDM1","chrXIII","58939","62322","-1","ORF"
"GFD2","chrIII","59026","60726","1","ORF"
"","chrX","59100","59172","-1","tRNA gene"
"SEC15","chrVII","59122","61854","1","ORF"
"NPR3","chrVIII","59123","62563","-1","ORF"
"","chrV","59549","59740","1","ORF"
"RML2","chrV","59670","60851","-1","ORF"
"RPL23A","chrII","59822","60739","-1","ORF"
"MBB1","chrX","59856","60182","-1","ORF"
"YPT11","chrXIV","60297","61550","1","ORF"
"CDC33","chrXV","60383","61024","-1","ORF"
"GRX1","chrIII","60841","61173","-1","ORF"
"PHO90","chrX","60844","63489","1","ORF"
"FMP45","chrIV","60872","61801","-1","ORF"
"MCM10","chrIX","61013","62728","-1","ORF"
"SCEI","chrmt","61022","61729","1","ORF"
"","chrII","61202","62602","-1","ORF"
"","chrI","61231","61608","-1","ORF"
"ERV46","chrI","61316","62563","1","ORF"
"RTC1","chrXV","61325","65350","-1","ORF"
"SNR67","chrV","61352","61433","1","snoRNA gene"
"","chrXIV","61510","61857","1","ORF"
"LSB5","chrIII","61658","62722","1","ORF"
"SNR53","chrV","61699","61789","1","snoRNA gene"
"21S_RRNA_4","chrmt","61868","62447","1","rRNA gene"
"","chrV","61890","61960","-1","tRNA gene"
"RPS19B","chrXIV","61958","62943","-1","ORF"
"","chrIV","62011","62562","1","ORF"
"","chrIII","62064","62381","-1","ORF"
"TAN1","chrVII","62075","63002","1","ORF"
"CDC13","chrIV","62244","65018","-1","ORF"
"NUP188","chrXIII","62582","67549","-1","ORF"
"","chrVIII","62755","62826","1","tRNA gene"
"MXR2","chrIII","62776","63282","-1","ORF"
"CDC24","chrI","62840","65404","1","ORF"
"SPO11","chrVIII","62961","64157","-1","ORF"
"MOB2","chrVI","63016","63993","-1","ORF"
"MLP2","chrIX","63028","68067","-1","ORF"
